meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power,stddev_power,median_power
C,2019-01-03T16:32:34.000Z,2019-01-03T16:21:07.000Z,-1521494.0,9757618.449569324,4906800.0,2.27628E7,3198442.9674872654,8996400.0
C,2019-01-04T07:44:50.000Z,2019-01-04T07:12:00.000Z,-5969470.0,1.2222368306922436E7,324000.0,2.5002E7,4040757.1301375213,1.4346E7
C,2019-01-05T17:14:07.000Z,2019-01-05T17:58:32.000Z,8194.0,51081.18921922756,-7200.0,9507600.0,507056.89065463044,-7200.0
A,2019-01-01T08:40:41.000Z,2019-01-01T08:27:11.000Z,-2930332.0,1.2943954542928591E7,7279200.0,1.67148E7,2773881.37407166,1.3464E7
C,2019-01-05T23:26:57.000Z,2019-01-05T23:28:56.000Z,-232.0,-6876.910252848013,-28800.0,-3600.0,1100.1429037009486,-7200.0
A,2019-01-01T07:16:53.000Z,2019-01-01T07:04:07.000Z,-2522893.0,1.3189590775215337E7,7632000.0,1.76364E7,2719102.360622222,1.37052E7
A,2019-01-05T03:25:52.000Z,2019-01-05T03:53:42.000Z,219323.0,472833.3425951653,468000.0,478800.0,2532.5188488944377,471600.0
A,2019-01-04T07:22:55.000Z,2019-01-04T07:23:56.000Z,97172.0,1.3478067723102586E7,853200.0,2.66724E7,4469276.870902351,1.56924E7
A,2019-01-04T18:40:02.000Z,2019-01-04T18:07:39.000Z,-251706.0,467439.6887159533,457200.0,932400.0,8361.560186645564,468000.0
B,2019-01-03T05:44:20.000Z,2019-01-03T05:58:51.000Z,3410501.0,8023086.270150083,1008000.0,2.60532E7,4900559.820115604,8341200.0
B,2019-01-03T06:45:57.000Z,2019-01-03T06:31:41.000Z,-2592488.0,1.218100861350375E7,979200.0,2.39508E7,3410216.8364683716,1.1988E7
C,2019-01-01T23:41:06.000Z,2019-01-01T23:11:05.000Z,2648.0,-6008.669074742984,-7200.0,0.0,2314.238591211068,-7200.0
C,2019-01-03T15:12:50.000Z,2019-01-03T15:46:54.000Z,5966832.0,9932139.92775771,3600000.0,2.23344E7,2827762.896850421,9936000.0
